"012403","C","20125412875","2006/12/27 00:00:00","IL056INSPE","AS  ","GVB ","N","Autorizado Ger. Adm","     289.9200","      55.08","       0.00","     345.00","    1.000","    1.000","N","TRANSF. CTA. SCOTIABANK                 "," 15","                                   ","                    "," ",
"012405","C","20510796048","2006/12/27 00:00:00","COFADMLIMA","FS  ","GVB ","E","Autorizado Ger. Adm","      23.5300","       4.47","       0.00","      28.00","    1.000","    1.000","N","CHEQUE GERENCIA                         ","  7","                                   ","                    "," ",
"012406","S","10094473000","2006/12/27 00:00:00","ILAGUENMAE","AS  ","GVB ","N","Autorizado Ger. Adm","     480.0000","      91.20","       0.00","     571.20","    1.000","    1.000","N","CHEQUE GERENCIA                         ","  1","                                   ","                    "," ",
"012409","S","20502324927","2006/12/27 00:00:00","ROFICITALA","LS  ","GVB ","N","Autorizado Ger. Adm","      64.5800","      12.27","       0.00","      76.85","   70.000","    0.000","N","TRANSF. CTA. SCOTIABANK                 "," 15","                                   ","                    "," ",
"012410","C","20511914125","2006/12/27 00:00:00","IL056INSPE","AS  ","GVB ","E","Autorizado Ger. Adm","      39.0000","       7.41","       0.00","      46.41","    1.000","    2.000","N","TRANSF. CTA. SCOTIABANK                 "," 30","                                   ","                    "," ",
"012411","C","20473938929","2006/12/27 00:00:00","IL056HARDB","AS  ","GVB ","E","Autorizado Ger. Adm","     396.9000","      75.41","       0.00","     472.31","   14.000","   46.000","N","TRANSF. CTA. SCOTIABANK                 "," 30","                                   ","                    "," ",
"012412","C","20473938929","2006/12/27 00:00:00","IL1ABHARDB","AS  ","GVB ","E","Autorizado Ger. Adm","      56.7000","      10.77","       0.00","      67.47","    2.000","   34.000","N","TRANSF. CTA. SCOTIABANK                 "," 30","                                   ","                    "," ",
"012422","C","20125412875","2006/12/28 00:00:00","IALMACLIMA","AS  ","GVB ","N","Autorizado Ger. Adm","     329.8300","      62.67","       0.00","     392.50","  182.000","  182.000","N","TRANSF. CTA. SCOTIABANK                 "," 15","                                   ","                    "," ",
"012423","C","20511998981","2006/12/28 00:00:00","ALMACTALAR","AS  ","GVB ","E","Autorizado Ger. Adm","      68.2400","      12.96","       0.00","      81.20","    4.000","    6.000","N","TRANSF. CTA. SCOTIABANK                 "," 15","                                   ","                    "," ",
"012424","C","20102064489","2006/12/28 00:00:00","CL1AB1501X","FS  ","GVB ","E","Autorizado Ger. Adm","     135.0000","      25.65","       0.00","     160.65","    1.000","    1.000","N","TRANSF. CTA. SCOTIABANK                 "," 15","                                   ","                    "," ",
"012437","C","20293247197","2006/12/28 00:00:00","CALMACLIMA","FS  ","GVB ","E","Anulado            ","       0.0000","       0.00","       0.00","       0.00","    3.000","    3.000","N","                                        ","  5","                                   ","                    ","S",
"012439","C","10447994181","2006/12/28 00:00:00","IPAF905FOS","AS  ","GVB ","N","Autorizado Ger. Adm","     150.0000","      28.50","       0.00","     178.50","    1.000","    1.000","N","EFECTIVO                                ","  1","                                   ","                    "," ",
"012441","C","20418885123","2006/12/28 00:00:00","IPAF905FOS","AS  ","GVB ","N","Autorizado Ger. Adm","      50.0000","       9.50","       0.00","      59.50","    1.000","    1.000","N","EFECTIVO                                ","  1","                                   ","                    "," ",
"012443","S","20100637791","2007/01/02 00:00:00","IALMACLIMA","AS  ","GVB ","N","Autorizado Ger. Adm","     251.2600","      47.74","       0.00","     299.00","    5.000","    8.000","N","TRANSF. CTA. SCOTIABANK                 "," 15","                                   ","                    "," ",
"012444","C","20102939795","2006/12/29 00:00:00","ROFICITALA","LS  ","GVB ","N","Autorizado Ger. Adm","      29.4100","       5.59","       0.00","      35.00","    1.000","    0.000","N","ABONO EN CUENTA DE OTRO BANCO           ","  1","                                   ","                    "," ",
"012445","C","20111444545","2007/01/02 00:00:00","IALMACLIMA","AS  ","GVB ","E","Autorizado Ger. Adm","      37.7200","       7.17","       0.00","      44.89","    1.000","    3.000","N","TRANSF. CTA. SCOTIABANK                 "," 30","                                   ","                    "," ",
